FECHA,CONCURSO,N1,N2,N3,N4,N5,N6,BOLSA
04/06/2025,4065,3,6,18,29,48,53,116000000
01/06/2025,4064,4,37,40,44,49,56,114300000
30/05/2025,4063,9,26,38,40,46,55,112100000
28/05/2025,4062,1,7,30,31,49,54,109700000
25/05/2025,4061,10,23,29,38,41,50,107900000
23/05/2025,4060,3,6,11,36,42,46,106000000
21/05/2025,4059,10,21,35,45,48,53,104000000
18/05/2025,4058,2,14,40,45,49,53,102300000
16/05/2025,4057,18,33,36,40,48,52,100000000
14/05/2025,4056,21,27,29,30,45,48,98000000
11/05/2025,4055,4,29,35,41,52,55,96200000
09/05/2025,4054,8,12,16,46,47,52,94100000
07/05/2025,4053,2,14,17,20,21,33,92000000
04/05/2025,4052,29,33,36,42,44,46,90200000
02/05/2025,4051,23,42,44,47,50,51,88100000
30/04/2025,4050,1,10,16,21,29,50,86000000
27/04/2025,4049,14,22,28,42,52,55,84400000
25/04/2025,4048,14,27,33,39,50,56,82500000
23/04/2025,4047,3,9,14,30,32,43,80500000
20/04/2025,4046,1,2,20,40,46,48,79000000
18/04/2025,4045,9,20,23,25,53,54,77000000
16/04/2025,4044,4,18,25,40,41,44,75000000
13/04/2025,4043,11,13,17,23,42,50,73800000
11/04/2025,4042,13,29,37,38,46,51,71800000
09/04/2025,4041,1,5,12,25,37,49,69500000
06/04/2025,4040,16,24,37,48,49,53,68000000
04/04/2025,4039,10,18,35,38,39,55,65900000
02/04/2025,4038,19,20,27,31,41,47,63700000
30/03/2025,4037,14,26,32,33,43,48,62000000
28/03/2025,4036,5,19,26,37,43,44,60000000
26/03/2025,4035,12,26,30,33,40,43,58000000
23/03/2025,4034,8,9,21,30,31,32,56500000
21/03/2025,4033,7,10,15,34,37,41,54500000
19/03/2025,4032,11,15,22,23,28,46,52600000
16/03/2025,4031,7,10,12,18,36,53,51000000
14/03/2025,4030,7,16,22,27,30,47,49100000
12/03/2025,4029,1,11,17,31,49,51,47300000
09/03/2025,4028,8,20,28,33,43,47,45700000
07/03/2025,4027,8,10,15,36,44,51,43700000
05/03/2025,4026,2,7,20,26,28,47,41600000
02/03/2025,4025,20,21,22,37,43,55,39700000
28/02/2025,4024,5,10,30,31,35,50,37700000
26/02/2025,4023,13,19,37,42,51,55,35700000
23/02/2025,4022,2,15,31,37,41,52,34300000
21/02/2025,4021,10,13,27,28,45,54,32500000
19/02/2025,4020,12,19,21,32,38,53,30500000
16/02/2025,4019,2,16,26,42,53,55,29400000
14/02/2025,4018,10,12,13,14,36,48,27700000
12/02/2025,4017,1,10,27,32,33,34,25700000
09/02/2025,4016,8,24,29,37,43,52,24000000
07/02/2025,4015,12,15,23,35,40,42,21700000
05/02/2025,4014,1,13,34,39,46,55,19500000
02/02/2025,4013,11,18,33,36,50,55,17800000
31/01/2025,4012,10,12,14,25,31,37,15700000
29/01/2025,4011,8,14,16,23,54,56,13700000
26/01/2025,4010,10,23,30,31,41,45,12000000
24/01/2025,4009,1,2,15,37,43,49,10400000
22/01/2025,4008,12,15,19,23,44,55,10300000
19/01/2025,4007,15,19,22,28,29,31,10200000
17/01/2025,4006,1,12,13,19,22,37,10100000
15/01/2025,4005,2,17,24,27,28,54,10000000
12/01/2025,4004,9,21,22,23,31,34,24300000
10/01/2025,4003,24,34,37,39,45,54,22200000
08/01/2025,4002,1,20,29,33,40,43,19500000
05/01/2025,4001,1,2,5,10,30,49,17700000
03/01/2025,4000,4,24,38,43,48,56,15700000
01/01/2025,3999,4,6,11,31,45,48,13300000
29/12/2024,3998,16,21,23,40,41,54,11300000
27/12/2024,3997,3,4,11,21,31,55,10400000
25/12/2024,3996,18,22,23,34,39,51,10300000
22/12/2024,3995,1,24,40,50,51,56,10200000
20/12/2024,3994,1,12,15,27,33,39,10100000
18/12/2024,3993,5,19,21,26,50,52,10000000
15/12/2024,3992,9,19,25,43,47,54,60100000
13/12/2024,3991,1,27,47,48,53,56,57900000
11/12/2024,3990,14,27,31,34,36,56,56300000
08/12/2024,3989,2,28,35,46,50,53,54700000
06/12/2024,3988,6,11,15,34,37,45,52300000
04/12/2024,3987,5,6,30,36,40,47,50300000
01/12/2024,3986,16,22,34,36,42,46,48500000
29/11/2024,3985,4,19,28,37,38,56,46400000
27/11/2024,3984,19,25,32,35,53,54,44500000
24/11/2024,3983,1,6,10,20,29,48,43000000
22/11/2024,3982,5,14,15,23,25,40,41300000
20/11/2024,3981,12,23,31,46,49,54,39200000
17/11/2024,3980,17,20,21,46,51,52,37600000
15/11/2024,3979,14,20,26,27,30,55,35500000
13/11/2024,3978,4,17,20,46,49,56,33500000
10/11/2024,3977,16,20,27,30,44,56,32000000
08/11/2024,3976,3,11,33,42,43,52,30100000
06/11/2024,3975,1,6,18,29,35,41,28100000
03/11/2024,3974,13,22,30,39,40,49,26300000
01/11/2024,3973,5,15,33,44,48,54,24500000
30/10/2024,3972,8,18,24,33,36,55,22600000
27/10/2024,3971,6,16,30,32,47,49,21100000
25/10/2024,3970,9,12,31,49,53,54,19300000
23/10/2024,3969,2,12,42,46,49,53,17300000
20/10/2024,3968,4,20,29,43,45,48,16000000
18/10/2024,3967,10,17,32,35,46,53,14300000
16/10/2024,3966,14,26,27,30,31,37,12300000
13/10/2024,3965,15,16,42,46,47,54,10700000
11/10/2024,3964,6,13,22,33,49,56,10400000
09/10/2024,3963,14,17,32,36,38,56,10300000
06/10/2024,3962,10,14,20,24,26,27,10200000
04/10/2024,3961,5,9,13,16,18,53,10100000
02/10/2024,3960,3,7,10,17,20,52,10000000
29/09/2024,3959,25,28,31,43,47,49,41300000
27/09/2024,3958,9,17,28,31,46,48,39500000
25/09/2024,3957,15,27,33,38,52,55,37500000
22/09/2024,3956,13,22,24,38,53,55,36000000
20/09/2024,3955,7,13,16,20,21,28,34000000
18/09/2024,3954,9,12,16,20,24,48,32200000
15/09/2024,3953,15,23,29,39,51,54,30800000
13/09/2024,3952,13,32,40,45,46,54,28700000
11/09/2024,3951,1,20,26,37,53,55,26700000
08/09/2024,3950,12,31,38,41,42,47,25000000
06/09/2024,3949,4,8,36,51,52,54,23000000
04/09/2024,3948,12,21,25,33,43,50,21000000
01/09/2024,3947,13,14,16,23,42,43,19500000
30/08/2024,3946,14,26,27,34,37,45,17700000
28/08/2024,3945,15,19,25,27,47,53,15800000
25/08/2024,3944,4,16,39,42,44,47,14300000
23/08/2024,3943,8,14,28,47,48,56,10700000
21/08/2024,3942,11,21,26,31,34,53,10500000
18/08/2024,3941,1,8,10,13,40,54,10400000
16/08/2024,3940,9,17,31,41,49,51,10300000
14/08/2024,3939,4,12,14,38,43,51,10200000
11/08/2024,3938,5,10,26,37,50,51,10100000
09/08/2024,3937,4,17,24,26,27,51,10000000
07/08/2024,3936,1,9,11,32,42,50,46000000
04/08/2024,3935,7,12,13,26,46,56,44500000
02/08/2024,3934,5,6,12,13,21,38,42500000
31/07/2024,3933,6,19,29,34,40,48,40700000
28/07/2024,3932,26,31,32,39,47,53,39300000
26/07/2024,3931,1,9,10,13,30,31,37500000
24/07/2024,3930,12,15,16,31,35,48,35900000
21/07/2024,3929,3,6,16,26,45,48,34300000
19/07/2024,3928,7,10,18,23,43,46,32300000
17/07/2024,3927,5,11,36,38,41,42,30500000
14/07/2024,3926,9,14,25,39,42,55,29300000
12/07/2024,3925,8,10,13,14,15,43,27300000
10/07/2024,3924,2,30,35,44,53,54,25300000
07/07/2024,3923,2,6,13,27,37,47,23800000
05/07/2024,3922,30,39,45,47,55,56,22300000
03/07/2024,3921,2,16,17,27,43,56,20300000
30/06/2024,3920,6,13,27,39,40,41,18500000
28/06/2024,3919,16,18,22,29,34,55,16700000
26/06/2024,3918,2,25,37,41,43,54,15000000
23/06/2024,3917,18,25,28,49,53,55,13600000
21/06/2024,3916,7,13,23,25,34,44,10600000
19/06/2024,3915,6,9,17,21,34,47,10500000
16/06/2024,3914,9,18,21,36,44,46,10400000
14/06/2024,3913,8,14,26,27,29,54,10300000
12/06/2024,3912,14,23,24,31,36,49,10200000
09/06/2024,3911,9,21,29,30,37,38,10100000
07/06/2024,3910,1,10,16,17,40,41,10000000
05/06/2024,3909,5,15,27,39,50,53,369300000
02/06/2024,3908,5,6,19,31,33,43,367500000
31/05/2024,3907,10,25,46,49,50,52,365000000
29/05/2024,3906,7,10,19,26,28,34,363100000
26/05/2024,3905,5,16,22,41,44,45,361500000
24/05/2024,3904,4,7,10,21,33,36,359300000
22/05/2024,3903,6,21,23,42,43,52,357100000
19/05/2024,3902,2,4,20,22,43,47,355500000
17/05/2024,3901,20,27,34,41,42,45,353300000
15/05/2024,3900,18,23,26,42,45,50,351000000
12/05/2024,3899,2,5,16,20,21,47,349300000
10/05/2024,3898,26,28,29,40,44,49,347100000
08/05/2024,3897,15,18,37,40,47,52,344800000
05/05/2024,3896,2,9,36,43,44,51,342900000
03/05/2024,3895,17,21,24,32,40,42,340600000
01/05/2024,3894,16,18,23,27,34,45,338300000
28/04/2024,3893,15,21,29,35,49,51,336700000
26/04/2024,3892,9,10,13,29,39,56,334500000
24/04/2024,3891,3,7,15,21,22,56,332300000
21/04/2024,3890,11,16,23,40,44,54,330600000
19/04/2024,3889,15,20,38,39,46,52,328400000
17/04/2024,3888,9,24,29,40,42,51,326000000
14/04/2024,3887,11,13,17,20,43,51,324300000
12/04/2024,3886,3,14,23,28,37,44,322000000
10/04/2024,3885,1,11,14,35,41,52,319700000
07/04/2024,3884,13,19,29,39,43,49,318000000
05/04/2024,3883,13,20,22,37,41,42,315900000
03/04/2024,3882,2,7,32,43,47,48,313700000
31/03/2024,3881,2,4,19,26,37,56,312000000
29/03/2024,3880,5,11,26,29,39,56,310100000
27/03/2024,3879,8,12,24,37,53,55,308000000
24/03/2024,3878,3,33,37,43,45,49,306800000
22/03/2024,3877,18,20,45,47,54,55,304500000
20/03/2024,3876,3,12,24,50,52,54,302300000
17/03/2024,3875,31,32,36,40,44,50,300800000
15/03/2024,3874,6,10,15,24,28,46,298600000
13/03/2024,3873,2,5,13,19,25,32,296400000
10/03/2024,3872,11,26,31,34,45,51,294900000
08/03/2024,3871,17,31,36,43,44,54,292900000
06/03/2024,3870,4,7,41,42,43,45,290600000
03/03/2024,3869,3,4,20,23,26,35,288800000
01/03/2024,3868,3,17,18,29,33,40,286500000
28/02/2024,3867,13,19,29,40,45,54,284400000
25/02/2024,3866,2,4,6,29,53,56,282800000
23/02/2024,3865,2,7,22,27,53,54,280600000
21/02/2024,3864,3,5,7,18,20,53,278500000
18/02/2024,3863,5,11,28,31,32,56,276900000
16/02/2024,3862,10,17,24,37,44,51,274700000
14/02/2024,3861,13,14,21,26,37,54,272700000
11/02/2024,3860,10,19,23,43,45,55,271100000
09/02/2024,3859,15,17,19,22,53,56,268900000
07/02/2024,3858,19,21,26,41,43,48,267000000
04/02/2024,3857,1,6,10,25,36,54,265500000
02/02/2024,3856,11,12,26,35,46,52,263300000
31/01/2024,3855,14,25,31,32,37,55,260900000
28/01/2024,3854,8,10,11,17,42,47,259100000
26/01/2024,3853,10,28,36,43,49,53,257000000
24/01/2024,3852,21,23,26,33,38,51,254700000
21/01/2024,3851,3,15,29,39,50,55,252900000
19/01/2024,3850,15,22,23,37,43,56,250700000
17/01/2024,3849,4,11,25,42,43,49,248400000
14/01/2024,3848,2,7,11,22,42,49,246700000
12/01/2024,3847,8,17,32,52,53,56,244400000
10/01/2024,3846,12,14,44,50,52,55,242100000
07/01/2024,3845,1,6,15,25,31,54,240200000
05/01/2024,3844,13,27,35,45,49,51,238100000
03/01/2024,3843,10,29,34,40,46,54,235700000
31/12/2023,3842,5,9,27,29,32,53,233500000
29/12/2023,3841,2,6,7,16,37,50,231100000
27/12/2023,3840,1,9,27,29,36,45,229200000
24/12/2023,3839,2,14,20,47,49,55,227500000
22/12/2023,3838,14,18,33,34,47,56,225100000
20/12/2023,3837,4,14,19,27,33,35,223000000
17/12/2023,3836,7,11,17,29,33,36,221200000
15/12/2023,3835,2,36,43,46,50,51,219100000
13/12/2023,3834,15,18,31,40,41,54,216900000
10/12/2023,3833,4,14,31,36,47,49,215400000
08/12/2023,3832,3,21,46,48,55,56,213400000
06/12/2023,3831,8,17,22,25,41,49,211200000
03/12/2023,3830,18,23,43,45,48,52,209400000
01/12/2023,3829,25,27,36,44,47,56,207300000
29/11/2023,3828,7,9,24,29,31,55,205100000
26/11/2023,3827,6,19,41,46,52,54,203600000
24/11/2023,3826,4,5,24,37,43,53,201700000
22/11/2023,3825,24,31,41,43,52,53,199700000
19/11/2023,3824,24,28,31,42,45,49,198300000
17/11/2023,3823,12,21,25,31,36,51,196200000
15/11/2023,3822,13,14,17,18,27,44,194000000
12/11/2023,3821,30,32,35,41,49,53,192500000
10/11/2023,3820,27,29,33,44,54,55,190400000
08/11/2023,3819,1,8,16,26,35,55,188200000
05/11/2023,3818,10,24,27,32,34,47,186600000
03/11/2023,3817,9,11,15,24,26,45,184600000
01/11/2023,3816,14,44,46,49,53,55,182600000
29/10/2023,3815,16,19,34,37,44,45,181100000
27/10/2023,3814,19,28,29,32,36,50,179200000
25/10/2023,3813,15,22,24,34,35,38,177300000
22/10/2023,3812,30,31,36,46,47,51,175900000
20/10/2023,3811,3,16,22,26,29,30,173700000
18/10/2023,3810,19,22,23,40,44,53,171500000
15/10/2023,3809,18,19,23,33,43,50,169700000
13/10/2023,3808,1,2,9,27,47,53,167500000
11/10/2023,3807,3,24,32,34,49,50,165400000
08/10/2023,3806,6,13,18,27,43,47,163900000
06/10/2023,3805,1,5,33,43,52,55,161800000
04/10/2023,3804,7,11,26,37,48,52,159500000
01/10/2023,3803,5,9,11,21,32,35,157900000
29/09/2023,3802,23,24,25,35,41,54,155700000
27/09/2023,3801,7,23,26,30,38,47,153700000
24/09/2023,3800,5,30,42,48,49,52,152200000
22/09/2023,3799,18,20,28,41,51,54,150200000
20/09/2023,3798,12,14,17,24,36,54,148200000
17/09/2023,3797,3,9,15,33,39,41,146200000
15/09/2023,3796,6,10,30,38,47,49,144100000
13/09/2023,3795,15,16,27,31,49,54,142400000
10/09/2023,3794,2,3,39,41,43,44,140900000
08/09/2023,3793,7,28,33,35,40,46,139000000
06/09/2023,3792,4,16,26,31,32,38,136800000
03/09/2023,3791,10,17,21,26,44,50,135300000
01/09/2023,3790,1,3,19,25,28,33,133300000
30/08/2023,3789,1,5,7,17,43,49,131300000
27/08/2023,3788,2,5,15,16,34,38,129900000
25/08/2023,3787,1,6,28,36,39,49,127900000
23/08/2023,3786,4,5,24,28,38,50,126000000
20/08/2023,3785,17,29,30,34,42,52,124600000
18/08/2023,3784,4,7,8,37,42,50,122500000
16/08/2023,3783,12,14,26,27,33,55,120400000
13/08/2023,3782,9,20,29,43,46,49,119000000
11/08/2023,3781,20,28,33,51,52,53,117100000
09/08/2023,3780,1,3,5,13,17,34,115000000
06/08/2023,3779,27,31,36,43,44,51,113600000
04/08/2023,3778,11,14,21,32,43,54,111500000
02/08/2023,3777,6,9,15,36,39,44,109600000
30/07/2023,3776,9,12,14,18,40,46,108200000
28/07/2023,3775,5,24,35,37,42,44,106300000
26/07/2023,3774,6,9,34,35,36,43,104300000
23/07/2023,3773,6,17,19,30,38,40,103000000
21/07/2023,3772,8,17,18,30,36,45,101100000
19/07/2023,3771,23,34,38,43,45,53,99100000
16/07/2023,3770,34,35,37,44,45,52,97700000
14/07/2023,3769,9,11,35,40,43,55,95900000
12/07/2023,3768,4,5,6,15,18,46,93900000
09/07/2023,3767,9,25,31,36,42,51,92500000
07/07/2023,3766,6,15,28,38,39,42,90400000
05/07/2023,3765,3,24,29,30,37,50,88500000
02/07/2023,3764,9,15,25,47,49,56,87200000
30/06/2023,3763,8,10,15,43,45,46,85300000
28/06/2023,3762,23,32,36,43,48,52,83500000
25/06/2023,3761,4,11,24,31,43,49,82200000
23/06/2023,3760,5,10,15,21,29,49,80400000
21/06/2023,3759,15,26,31,39,45,51,78600000
18/06/2023,3758,2,4,22,27,35,42,77300000
16/06/2023,3757,1,5,8,19,28,32,75600000
14/06/2023,3756,14,24,31,35,42,48,73800000
11/06/2023,3755,4,15,26,37,46,56,72700000
09/06/2023,3754,8,9,24,29,44,54,70800000
07/06/2023,3753,11,21,26,29,47,49,69000000
04/06/2023,3752,6,22,29,37,39,42,67800000
02/06/2023,3751,10,20,28,31,41,45,65800000
31/05/2023,3750,14,15,24,33,41,53,64000000
28/05/2023,3749,9,31,44,46,50,56,62800000
26/05/2023,3748,17,22,24,27,28,55,61100000
24/05/2023,3747,10,11,20,26,41,44,59400000
21/05/2023,3746,1,15,21,22,25,31,58200000
19/05/2023,3745,4,24,40,46,50,51,56500000
17/05/2023,3744,7,11,15,27,31,41,54600000
14/05/2023,3743,3,16,18,19,20,49,53200000
12/05/2023,3742,10,17,36,42,55,56,51500000
10/05/2023,3741,16,26,32,35,44,51,49900000
07/05/2023,3740,3,4,7,8,17,21,48500000
05/05/2023,3739,10,16,24,27,29,34,46700000
03/05/2023,3738,6,22,25,27,37,39,44900000
30/04/2023,3737,25,27,43,45,52,55,43800000
28/04/2023,3736,4,9,14,30,32,33,42300000
26/04/2023,3735,14,24,38,39,49,55,40600000
23/04/2023,3734,2,14,23,36,37,43,39500000
21/04/2023,3733,2,7,24,36,38,43,37700000
19/04/2023,3732,2,3,10,15,41,46,35900000
16/04/2023,3731,10,16,25,27,39,40,34700000
14/04/2023,3730,12,13,21,23,29,32,32900000
12/04/2023,3729,3,6,17,18,39,54,31200000
09/04/2023,3728,1,7,11,45,52,54,30100000
07/04/2023,3727,2,15,27,37,42,54,28500000
05/04/2023,3726,3,16,25,32,35,39,26700000
02/04/2023,3725,20,27,31,39,40,47,25700000
31/03/2023,3724,6,14,36,42,48,56,24200000
29/03/2023,3723,10,30,32,36,48,52,22700000
26/03/2023,3722,1,3,14,17,19,21,21500000
24/03/2023,3721,19,29,40,42,49,55,19800000
